,cq,baseline,plateau,slope,inflection,asymmetry,drift,CurveCall
365195,38.835736253693,17.989400049942,42.605808926242,-0.41262087807529,34.467167107907,5.5,0.023345366869374,True
133198,18.866104748154,19.015662435372,20.878669486139,-0.17224906297471,8.4012418006485,5.5,0.035013874989564,False
125580,39.792797207935,19.850848621513,34.268593964285,-0.42072688863946,35.508395888362,5.5,0.033255229156464,True
243260,,20.13813284636,20.840671721367,-0.01,40.540218847887,0.98671212983701,0.03998101234726,False
382955,18.642835356588,15.320538045163,16.225704013886,-0.20252295875356,9.7422995953057,5.5,0.027589303372779,False
90337,47.76587707498,22.748687391387,36.011554011503,-1.2905711727551,49.792665973187,0.7057774617631,0.078780566640379,False
272103,38.895813530611,22.447888310367,48.870207367925,-0.43817232746305,34.781991812788,5.5,0.048218737443538,True
259393,38.464200384344,17.151432214347,36.858903112486,-0.45249658271727,34.480606019847,5.5,0.029462059157757,True
271004,37.564130808511,15.420377402498,31.879552656699,-0.45749428769815,33.624053554353,5.5,0.0061091608475159,True
19718,39.543533115201,14.861711274784,32.612996522996,-0.38136838692338,34.816967152541,5.5,0.06769966132911,True
441285,38.702318729335,14.96330117388,33.644774439506,-0.42249261667852,34.435823255313,5.5,0.048238229068353,True
38219,46.224822270871,22.660182988197,41.154056592819,-0.62048561138864,44.889975727245,3.1031213084234,0.06433200826035,False
259652,17.909750314344,20.562979994687,22.589329219667,-0.18331109857352,8.0763967918691,5.5,0.058645107832713,False
21923,40.640929499531,23.110502591785,44.273102052288,-0.41734882190882,36.32184976996,5.5,0.044999524198121,True
120004,45.194216168861,16.047929730558,29.822331560073,-0.6681995077966,45.103682877513,2.0617070929408,0.026381369242,False
276813,45.095940334267,17.194343540495,28.42550615324,-0.7702699567635,46.498259971013,1.2203325983718,0.0082749977560654,False
240254,,17.806126316561,18.775144439267,-0.01,39.701277183302,1.1622195381511,0.05713884253187,False
339396,39.710996675015,20.021382737138,44.952579070447,-0.38543546794787,35.034305019045,5.5,0.090813475666569,True
163799,48.184253954831,17.866637629605,38.951034230567,-0.35746255832385,43.141592017539,5.5,0.036995817888511,False
158490,49.091591699006,23.81128214916,33.169636599881,-0.66389067998319,46.376441612982,5.5,0.060727695162064,False
336268,39.132162571373,11.318428934582,29.654127374621,-0.39701116743124,34.591829742627,5.5,0.078703768509031,True
54729,42.372477386203,22.815584966397,41.230593488883,-0.45395430216836,38.401674976673,5.5,0.064101932716386,True
17409,,20.37926598705,20.95464791055,-0.01,39.226273802063,1.0105668115924,0.029986925852896,False
23328,23.68155697211,20.522356286545,26.812186607763,-0.097128307453734,5.1229834303515,5.5,-0.03454755920637,False
244077,45.132691012811,20.69266312444,35.778061598551,-0.43643015449161,41.002447448485,5.5,0.057404821417214,False
89125,38.291946375407,16.347614300666,31.552739674313,-0.44022711274765,34.197326156275,5.5,0.045560775369573,True
372676,39.265170188835,14.694846855832,30.715243478966,-0.41345223627093,34.905385239732,5.5,0.017623738947867,True
54326,39.715633628737,17.877701656941,37.408484074293,-0.46114209725096,35.806723885705,5.5,0.077778237329282,True
40884,49.652528308657,19.355933571532,36.453042637913,-1.3467283527939,52.553551805715,0.5,0.053744462104169,False
95686,39.083874865825,18.529519624936,35.813226542813,-0.42918677645763,34.883925250078,5.5,0.045795959811991,True
266164,,24.371681747529,31.165425431985,-0.4482153713168,60.0,0.5,-0.026719902222681,False
349907,,20.56118754264,22.015581391257,-0.14507020401771,18.753365022922,5.5,-0.016719387190144,False
214029,,18.465452296056,263.95823516556,-1.3256197943312,60.0,0.5,0.0025795766667398,False
217389,,22.922256586622,24.938337836287,-0.15776659485922,25.856633967675,5.5,-0.026082677404984,False
170167,38.300917305133,16.187213034459,35.37687261203,-0.41335601142411,33.940117444847,5.5,0.024308659566025,True
109474,39.19712075219,25.446733439497,55.135267676163,-0.43166833590321,35.021315656143,5.5,-0.002761884846528,True
